Timestamp,Actual Position,Target Position,IMU Data
1732127773.965039,"[-1443, -1443]",[9000],0
1732127773.96805,"[-1443, -1442]",[9000],0
1732127773.96805,"[-1443, -1443]",[9000],0
1732127773.9763844,"[-1443, -1443]",[9000],0
1732127773.9763844,"[-1443, -1443]",[9000],0
1732127773.9849916,"[-1443, -1443]",[9000],0
1732127773.9849916,"[-1443, -1443]",[9000],0
1732127773.9925022,"[-1443, -1442]",[9000],0
1732127773.9925022,"[-1443, -1443]",[9000],0
1732127774.0012574,"[-1443, -1443]",[9000],0
1732127774.0012574,"[-1443, -1443]",[9000],0
1732127774.0088003,"[-1443, -1443]",[9000],0
1732127774.0088003,"[-1443, -1442]",[9000],0
1732127774.0168061,"[-1443, -1443]",[9000],0
1732127774.0168061,"[-1443, -1443]",[9000],0
1732127774.024808,"[-1443, -1443]",[9000],0
1732127774.0306783,"[-1443, -1443]",[9000],0
1732127774.0329418,"[-1443, -1443]",[9000],0
1732127774.0329418,"[-1443, -1443]",[9000],0
1732127774.0417376,"[-1443, -1442]",[9000],0
1732127774.0417376,"[-1443, -1443]",[9000],0
1732127774.0494983,"[-1443, -1443]",[9000],0
1732127774.0494983,"[-1443, -1442]",[9000],0
1732127774.0582423,"[-1443, -1443]",[9000],0
1732127774.0582423,"[-1443, -1443]",[9000],0
1732127774.065909,"[-1443, -1443]",[9000],0
1732127774.065909,"[-1443, -1443]",[9000],0
1732127774.0734928,"[-1443, -1442]",[9000],0
1732127774.0734928,"[-1443, -1442]",[9000],0
1732127774.082241,"[-1443, -1443]",[9000],0
1732127774.082241,"[-1443, -1443]",[9000],0
1732127774.090024,"[-1443, -1443]",[9000],0
1732127774.090024,"[-1443, -1443]",[9000],0
1732127774.0985289,"[-1443, -1443]",[9000],0
1732127774.0985289,"[-1443, -1443]",[9000],0
1732127774.1066973,"[-1443, -1443]",[9000],0
1732127774.1066973,"[-1443, -1443]",[9000],0
1732127774.1152833,"[-1443, -1443]",[9000],0
1732127774.1152833,"[-1443, -1443]",[9000],0
1732127774.123282,"[-1443, -1443]",[9000],0
1732127774.123282,"[-1443, -1443]",[9000],0
1732127774.1314719,"[-1443, -1443]",[9000],0
1732127774.1314719,"[-1443, -1443]",[9000],0
1732127774.1314719,"[-1443, -1443]",[9000],0
1732127774.13985,"[-1443, -1443]",[9000],0
1732127774.13985,"[-1443, -1443]",[9000],0
